stage,model,eval_count,total_s,tok_per_s
01_extract,qwen3:30b-a3b-instruct-2507-q4_K_M,487,21.3,35.7
02a_gloss_meta,qwen3:30b-a3b-instruct-2507-q4_K_M,551,20.8,31.1
02b_gloss_polit,bjoernb/gemma4-26b-fast:latest,525,90.2,11.8
02c_gloss_text,gpt-oss:120b,977,103.0,14.8
03_synthesis,gpt-oss:120b,1486,69.3,24.9
04_critique,gpt-oss:120b,951,46.1,25.1
